INFO 2023-06-12 12:04:35,184 autoreload 14168 9552 Watching for file changes with StatReloader
WARNING 2023-06-12 12:06:15,381 log 14168 1160 Not Found: /fetchrole/null/
WARNING 2023-06-12 12:06:15,382 basehttp 14168 1160 "GET /fetchrole/null/ HTTP/1.1" 404 23
WARNING 2023-06-12 12:06:15,417 log 14168 8376 Not Found: /fetchrole/null/
WARNING 2023-06-12 12:06:15,418 basehttp 14168 8376 "GET /fetchrole/null/ HTTP/1.1" 404 23
INFO 2023-06-12 12:07:17,162 basehttp 14168 10120 "OPTIONS /access_token/ HTTP/1.1" 200 0
WARNING 2023-06-12 12:07:17,741 log 14168 10120 Unauthorized: /access_token/
WARNING 2023-06-12 12:07:17,742 basehttp 14168 10120 "POST /access_token/ HTTP/1.1" 401 63
INFO 2023-06-12 12:09:14,712 basehttp 14168 10120 "OPTIONS /signup/ HTTP/1.1" 200 0
WARNING 2023-06-12 12:09:14,746 log 14168 10120 Bad Request: /signup/
WARNING 2023-06-12 12:09:14,747 basehttp 14168 10120 "POST /signup/ HTTP/1.1" 400 53
WARNING 2023-06-12 12:09:33,651 log 14168 13088 Unauthorized: /access_token/
WARNING 2023-06-12 12:09:33,651 basehttp 14168 13088 "POST /access_token/ HTTP/1.1" 401 63
WARNING 2023-06-12 12:10:32,843 log 14168 8500 Unauthorized: /access_token/
WARNING 2023-06-12 12:10:32,844 basehttp 14168 8500 "POST /access_token/ HTTP/1.1" 401 63
WARNING 2023-06-12 12:12:11,564 log 14168 8500 Bad Request: /signup/
WARNING 2023-06-12 12:12:11,565 basehttp 14168 8500 "POST /signup/ HTTP/1.1" 400 53
WARNING 2023-06-12 12:13:40,452 log 14168 7720 Unauthorized: /access_token/
WARNING 2023-06-12 12:13:40,452 basehttp 14168 7720 "POST /access_token/ HTTP/1.1" 401 63
